task_name,arrival_time,deadline,k_multiplier,rt_exact
FFT,40872,2878104,4,709308.24
Primes,80587,80600,5,2.69
Susan,121128,854678,5,146710.0
Primes,125885,125893,3,2.69
SHA256,127354,127606,5,50.5
BasicMath,152049,317079,3,55010.0
Blowfish,176018,177210,3,397.57
Susan,229131,815971,4,146710.0
Msort,230479,230586,5,21.45
Sharpen,248271,248748,5,95.57
Susan,249468,689598,3,146710.0
Blowfish,267981,269571,4,397.57
Square_mmult,297414,297605,2,95.57
CRC32,303991,422421,5,23686.0
BasicMath,324928,544968,4,55010.0
Dhrystone,327542,327648,4,26.63
Grayscale,329099,329548,5,89.83
Norx,334457,334685,4,57.09
AES,349777,353080,2,1651.6
Square_mmult,356798,357084,3,95.57
Grayscale,378004,378183,2,89.83
CRC32,381805,476549,4,23686.0
Square_mmult,413050,413241,2,95.57
Sharpen,433910,434101,2,95.57
Dhrystone,445059,445165,4,26.63
FFT,452149,3289381,4,709308.24
Msort,459855,459940,4,21.45
Grayscale,461165,461614,5,89.83
BasicMath,464219,739269,5,55010.0
Norx,475869,475983,2,57.09
SHA256,482477,482729,5,50.5
Susan,503969,1090809,4,146710.0
Primes,516013,516023,4,2.69
BasicMath,520058,630078,2,55010.0
Primes,527897,527907,4,2.69
Blowfish,538803,540393,4,397.57
FFT,544648,3381880,4,709308.24
Square_mmult,550120,550311,2,95.57
BasicMath,565062,785102,4,55010.0
Msort,570110,570217,5,21.45
BasicMath,592783,812823,4,55010.0
Sharpen,616428,616619,2,95.57
Primes,634857,634870,5,2.69
Qsort,636098,636232,5,26.93
Blowfish,655377,656172,2,397.57
Dhrystone,678401,678534,5,26.63
Norx,697476,697647,3,57.09
Qsort,702237,702344,4,26.93
SHA256,707693,707844,3,50.5
FFT,710511,4257052,5,709308.24
Norx,716535,716820,5,57.09
Susan,716894,1450444,5,146710.0
CRC32,719739,838169,5,23686.0
SHA256,742095,742347,5,50.5
CRC32,810023,857395,2,23686.0
Qsort,819603,819683,3,26.93
Dhrystone,824432,824538,4,26.63
Stringsearch,831194,833314,4,530.0
AES,837337,840640,2,1651.6
Grayscale,839541,839720,2,89.83
Qsort,857958,858065,4,26.93
Msort,881347,881432,4,21.45
Sharpen,906980,907171,2,95.57
SHA256,997248,997349,2,50.5
Qsort,1033061,1033114,2,26.93
Msort,1061024,1061109,4,21.45
CRC32,1078763,1126135,2,23686.0
Blowfish,1088836,1090426,4,397.57
Susan,1089592,1529722,3,146710.0
AES,1105854,1110808,3,1651.6
Sharpen,1116418,1116800,4,95.57
Blowfish,1142053,1143643,4,397.57
Susan,1176529,1763369,4,146710.0
Norx,1182174,1182459,5,57.09
Square_mmult,1183020,1183497,5,95.57
SHA256,1198742,1198994,5,50.5
CRC32,1242150,1336894,4,23686.0
Dhrystone,1256108,1256187,3,26.63
Grayscale,1292334,1292513,2,89.83
Stringsearch,1305135,1307255,4,530.0
CRC32,1327473,1374845,2,23686.0
Stringsearch,1332382,1335032,5,530.0
Square_mmult,1334667,1335144,5,95.57
Primes,1337089,1337094,2,2.69
SHA256,1339090,1339342,5,50.5
SHA256,1340019,1340120,2,50.5
Square_mmult,1369201,1369583,4,95.57
Susan,1376827,1670247,2,146710.0
Sharpen,1383391,1383677,3,95.57
Susan,1399285,1986125,4,146710.0
Dhrystone,1402469,1402575,4,26.63
Msort,1435080,1435144,3,21.45
AES,1457043,1465301,5,1651.6
BasicMath,1462640,1737690,5,55010.0
Stringsearch,1466050,1467110,2,530.0
SHA256,1475077,1475279,4,50.5
AES,1480259,1486865,4,1651.6
CRC32,1481547,1552605,3,23686.0
Sharpen,1490108,1490490,4,95.57
BasicMath,1528390,1803440,5,55010.0
Sharpen,1545540,1546017,5,95.57
Sharpen,1597941,1598418,5,95.57
Msort,1632730,1632815,4,21.45
BasicMath,1651734,1816764,3,55010.0
BasicMath,1683194,1958244,5,55010.0
CRC32,1695552,1766610,3,23686.0
Msort,1713705,1713790,4,21.45
BasicMath,1720169,1885199,3,55010.0
Dhrystone,1723893,1723972,3,26.63
Susan,1760357,2053777,2,146710.0
Grayscale,1762742,1763191,5,89.83
FFT,1765936,3184552,2,709308.24
Primes,1771210,1771215,2,2.69
FFT,1787657,5334198,5,709308.24
Stringsearch,1794692,1796812,4,530.0
BasicMath,1806328,1971358,3,55010.0
SHA256,1843044,1843246,4,50.5
FFT,1869253,3997177,3,709308.24
Blowfish,1889164,1889959,2,397.57
Msort,1892070,1892155,4,21.45
Grayscale,1912290,1912469,2,89.83
Norx,1920016,1920244,4,57.09
Qsort,1922120,1922254,5,26.93
Blowfish,1928910,1930897,5,397.57
SHA256,1930109,1930260,3,50.5
AES,1945665,1953923,5,1651.6
Square_mmult,1962184,1962566,4,95.57
Grayscale,1967187,1967456,3,89.83
Primes,1967966,1967971,2,2.69
Sharpen,2014364,2014650,3,95.57
Qsort,2028097,2028204,4,26.93
SHA256,2053394,2053646,5,50.5
Grayscale,2059392,2059571,2,89.83
FFT,2087891,4925123,4,709308.24
Dhrystone,2115793,2115926,5,26.63
BasicMath,2117376,2392426,5,55010.0
Sharpen,2209713,2209999,3,95.57
Stringsearch,2221164,2222224,2,530.0
Stringsearch,2244926,2246516,3,530.0
Stringsearch,2249069,2251719,5,530.0
Norx,2265794,2266079,5,57.09
Msort,2270660,2270745,4,21.45
Square_mmult,2298097,2298288,2,95.57
Blowfish,2305969,2306764,2,397.57
CRC32,2319214,2390272,3,23686.0
FFT,2328191,5165423,4,709308.24
FFT,2341001,3759617,2,709308.24
AES,2349030,2355636,4,1651.6
Sharpen,2359451,2359833,4,95.57
Grayscale,2359939,2360118,2,89.83
Sharpen,2386927,2387118,2,95.57
Susan,2429591,2869721,3,146710.0
Susan,2439467,3026307,4,146710.0
SHA256,2497337,2497589,5,50.5
Susan,2500194,2940324,3,146710.0
FFT,2547533,4675457,3,709308.24
Blowfish,2553727,2555714,5,397.57
Sharpen,2565094,2565380,3,95.57
Primes,2606523,2606531,3,2.69
Susan,2608681,3048811,3,146710.0
SHA256,2611928,2612029,2,50.5
SHA256,2634751,2634902,3,50.5
Qsort,2651451,2651558,4,26.93
Sharpen,2656346,2656823,5,95.57
Stringsearch,2663883,2666003,4,530.0
Square_mmult,2676630,2677107,5,95.57
AES,2708926,2715532,4,1651.6
Qsort,2715017,2715070,2,26.93
Msort,2728023,2728087,3,21.45
Qsort,2734044,2734178,5,26.93
Norx,2739217,2739331,2,57.09
Norx,2775487,2775772,5,57.09
Msort,2784949,2785034,4,21.45
Qsort,2807719,2807799,3,26.93
Primes,2812865,2812878,5,2.69
BasicMath,2816028,3091078,5,55010.0
SHA256,2835449,2835550,2,50.5
Grayscale,2859546,2859725,2,89.83
AES,2875711,2882317,4,1651.6
Grayscale,2895896,2896345,5,89.83
Square_mmult,2913216,2913407,2,95.57
SHA256,2931779,2931981,4,50.5
SHA256,2970109,2970210,2,50.5
Dhrystone,3018108,3018214,4,26.63
Qsort,3029368,3029475,4,26.93
Blowfish,3030911,3031706,2,397.57
Norx,3054774,3055002,4,57.09
Norx,3069159,3069444,5,57.09
Stringsearch,3110647,3113297,5,530.0
CRC32,3128403,3175775,2,23686.0
FFT,3130788,4549404,2,709308.24
BasicMath,3148625,3258645,2,55010.0
Blowfish,3158357,3159549,3,397.57
Dhrystone,3160314,3160367,2,26.63
BasicMath,3164969,3440019,5,55010.0
Blowfish,3224062,3226049,5,397.57
Msort,3230912,3231019,5,21.45
Stringsearch,3235300,3236360,2,530.0
AES,3242850,3246153,2,1651.6
AES,3277995,3286253,5,1651.6
Grayscale,3296505,3296774,3,89.83
AES,3299866,3306472,4,1651.6
Primes,3300004,3300017,5,2.69
AES,3307450,3310753,2,1651.6
Blowfish,3310011,3310806,2,397.57
Blowfish,3345158,3345953,2,397.57
BasicMath,3346970,3456990,2,55010.0
Norx,3358602,3358716,2,57.09
Stringsearch,3375900,3378550,5,530.0
CRC32,3424690,3519434,4,23686.0
Qsort,3429628,3429762,5,26.93
Square_mmult,3459136,3459613,5,95.57
